file,start_sec,end_sec,speaker,transcript,sentiment,score,created_at
amagasaki__2014_10_28_2min.mp3,64.949,68.26,SPEAKER_01,つい先日まで、本田さんも国際に参加していました。,LABEL_3,0.9426,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,69.109,72.402,SPEAKER_01,そこでは、団体5位という成績を収めるなど。,LABEL_0,0.9809,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,72.895,75.238,SPEAKER_01,この月の活躍は素晴らしいと思いました。,LABEL_0,0.9811,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,76.188,79.958,SPEAKER_01,今年のいろいろな大会を振り返っての 感想をお聞かせせください,LABEL_2,0.9756,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,81.265,83.081,SPEAKER_02,今年は今までよりも,LABEL_0,0.9033,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,83.251,85.747,SPEAKER_02,すごく大きい大会にも出させてもらって,LABEL_0,0.9834,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,86.171,87.105,SPEAKER_02,いろいろ自分,LABEL_1,0.8904,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,87.173,88.497,SPEAKER_02,ときにも成長できた,LABEL_0,0.9816,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,88.803,89.228,SPEAKER_02,で,LABEL_0,0.7648,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,89.516,93.132,SPEAKER_02,テレビで見てた試合にも足させていただいて,LABEL_0,0.9848,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,93.761,96.239,SPEAKER_02,すごい成長できたとしたなと思います。,LABEL_0,0.9809,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,97.75,98.379,SPEAKER_01,温田さん,LABEL_0,0.9666,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,98.379,98.396,SPEAKER_02,by H.,LABEL_0,0.948,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,98.633,98.667,SPEAKER_02,by H.,LABEL_0,0.948,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,98.667,105.153,SPEAKER_01,韓国で開催されたアジア大会のような国際大会はやはり独特の雰囲気というものはありますか,LABEL_2,0.9176,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,105.883,105.9,SPEAKER_02,by H.,LABEL_0,0.948,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,105.9,106.002,SPEAKER_01,いっぱい,LABEL_0,0.9426,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,106.002,106.885,SPEAKER_02,やっぱり日本,LABEL_0,0.9717,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,107.224,112.182,SPEAKER_02,デノ会場とインチョンデノ会場はすごい光の火炎とかも,LABEL_3,0.9474,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,112.827,116.969,SPEAKER_02,天井の高さとかもすごく高くて違いましたね。,LABEL_3,0.955,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,117.971,124.168,SPEAKER_01,かきたに先生もナショナルチームの一員として国際大会に参加していましたがどうでしたか,LABEL_2,0.8005,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,124.491,124.576,SPEAKER_01,,neutral,0.0,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,124.576,125.9,SPEAKER_02,大会では,LABEL_2,0.765,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,126.273,127.003,SPEAKER_02,まず聞こえます,LABEL_0,0.9114,2025-09-12T14:09:26
